cache misses;cache references;branch instructions;branch misses;cache miss rate;branch miss rate
2181888;5378071;7184434;463437;0.4057008544513451;0.06450570775651916
2276517;6063168;9679569;511535;0.3754665877640204;0.05284687778970324
2479835;6063842;7144729;505181;0.40895442196548;0.07070681057322119
2442031;6743225;15160253;687011;0.36214585750883294;0.04531659201201985
2212414;5708018;8876539;496046;0.38759758641265674;0.055882816489625065
2590636;7020209;15424684;796494;0.36902548058042145;0.05163762187932019
2353662;6151468;8165340;527904;0.38261793770202496;0.06465180874280801
3087456;7954469;11679887;649401;0.388141056304324;0.05559993859529634
4261120;12746805;15326070;941287;0.334289259151607;0.06141737575255757
2308185;6028721;8908658;511479;0.3828647900607774;0.05741369800030487
1959637;4917932;6792499;436531;0.398467689264512;0.06426662705434333
2186918;5614983;8673443;484694;0.38947900643688504;0.055882537073224554
2419922;6577704;14597190;661012;0.36789767371715115;0.04528351004542655
2163880;5536674;7736599;497329;0.39082669487132526;0.06428263892183116
2435547;6079666;10584968;547710;0.4006053950990071;0.05174413375647428
2212956;5685044;9101625;490831;0.38925925639273856;0.0539278425555876
2338047;5833156;8625233;505629;0.4008202420782163;0.05862206852846758
2039847;5075991;9298149;453754;0.401861823632075;0.04880046555502606
2175930;5399929;7423895;475782;0.4029552981159567;0.06408792150212254
2109080;5262521;8474134;460579;0.40077369762514964;0.054351158478258665
2517850;6896592;15975147;698337;0.36508611789707146;0.04371396394662284
2140493;5360220;7062343;468080;0.3993293185727452;0.06627828753148919
2045246;5201252;7104732;442172;0.39322186273612586;0.06223626732155414
2384560;6118395;9921657;517013;0.3897361971562804;0.05210954178319206
2240216;5494897;10429352;475943;0.40769026243804024;0.04563495411795479
2541860;6611905;12909137;597644;0.3844368604812078;0.04629620090018411
2226402;5802684;7866478;490773;0.38368486031636395;0.06238789455713217
2072187;5229266;10449535;465954;0.39626727728136224;0.0445908837091794
2276490;5890435;9442161;479583;0.3864723063746565;0.05079165669808003
2257744;5993486;15783134;635386;0.3766996369058007;0.04025727716687953
2103897;5521792;7343330;474442;0.3810170683720068;0.06460856314505817
2377850;5976364;9726521;528161;0.3978756983343049;0.05430112164462504
2344732;5911898;7985701;512867;0.3966123908091784;0.06422316588111676
2282840;5780512;7538684;479329;0.3949200347650866;0.06358258284867757
2029210;5123798;7312191;458212;0.39603629963554376;0.0626641180461506
2188885;5448885;8967550;484994;0.40171246043915404;0.05408322228479351
2020037;5041823;7481880;466047;0.4006560722183226;0.0622900928643603
2468414;6358009;15184724;658171;0.3882369465032214;0.0433442846903243
2298734;6042131;8351833;501441;0.38045087072756284;0.060039634413188096
2131097;5482266;7397994;460726;0.388725574424882;0.062277152428077125
2252161;5685357;12462514;509598;0.3961336113106002;0.04089046559947696
2248732;5717750;7286157;482917;0.39328966813869093;0.0662786980846007
