cache misses;cache references;branch instructions;branch misses;cache miss rate;branch miss rate
3182732;7681518;23626451;625589;0.414336333000847;0.02647833142607834
3617460;8963738;32375098;853899;0.40356601230424183;0.02637517884887947
3240357;7817102;24491524;667893;0.4145215196117436;0.027270373211564947
3120479;7624388;25292598;642320;0.40927599697182254;0.025395572253985137
2966931;7305352;23787675;614560;0.4061311487796892;0.025835227696695873
3328997;8127958;25015289;676447;0.40957359769821644;0.027041342596521672
3365591;8088600;24931916;670726;0.4160906708206612;0.026902304660420002
3406505;8178865;29635792;714209;0.41650094481324734;0.024099541527353142
7642891;34646061;259334697;2444374;0.22059913246703572;0.009425557120881514
10376961;32605165;164376103;3374119;0.3182612632078384;0.020526821955378756
3681700;9233940;29740892;846167;0.39871387511723055;0.028451298636234582
3675530;11268971;37519097;1529135;0.32616376419816856;0.040756178113774966
3606713;8975934;29353960;746822;0.4018203565222293;0.025441950592015525
3557652;8629184;27387712;712818;0.41228139300309274;0.026026927696625405
3240775;7998507;25999241;672861;0.4051724903160052;0.025880024728414188
3280232;8129272;24374307;651047;0.40350870287031854;0.026710379909467785
3152939;7585516;23610704;631069;0.4156525409741407;0.02672808909043966
3578576;9665582;28790927;830462;0.3702390606173534;0.02884457315320205
3223669;7652709;26005797;631364;0.4212454700681811;0.024277817749634823
3314721;8189425;25344936;695904;0.40475625578108354;0.027457319284609753
3332564;8010467;25427043;669414;0.4160261817444601;0.026326852084216007
3338788;10952117;32525125;839835;0.304853207831874;0.02582111521477627
6177112;9855371;53414996;966781;0.6267762015250364;0.018099430354726602
7231665;29139466;226614648;3145153;0.24817424588357248;0.013878860116756441
7630063;19649842;41709259;1474276;0.38830149372193423;0.0353464922500781
3831990;9125243;31630493;786047;0.41993292671767757;0.024850924707370194
3428292;8273108;26443722;692053;0.4143898520362601;0.026170786396861986
3205133;7785445;25636836;746834;0.4116826976492673;0.029131285935596732
3760428;9406688;33529353;874673;0.39976110614065224;0.026086784317013216
3260754;7812734;24833630;649850;0.41736401111313914;0.026168143763114778
4274854;10038485;28958924;839700;0.4258465296307162;0.028996243092457442
3186982;7634206;23925831;633242;0.4174608335169368;0.02646687590495812
4250429;10505560;32555220;994594;0.4045885226489592;0.03055098383607913
4358343;10647611;33038939;979660;0.4093259041863945;0.029651678584472704
4661771;11256992;33701200;938221;0.4141222628567205;0.027839394442927847
3700016;8568735;25776071;740194;0.43180422781192324;0.028716323756246637
3402286;8025916;25238850;669921;0.42391248550321237;0.026543245829346425
5599012;26834677;218964699;1770809;0.2086483843274879;0.008087189433215443
5552105;16121958;63940908;1569836;0.3443815571284828;0.024551356073955033
3411954;7885606;27011309;682089;0.4326812676159575;0.025251978717506805
3370932;8152544;24667679;678457;0.41348222100978543;0.02750388473921685
3341690;8785943;33159552;842306;0.38034505800914026;0.02540160976843113
3201767;7604448;24970593;636147;0.4210387131321037;0.02547584672899038
3129313;7358668;24122584;619032;0.42525535871437603;0.025661927428670163
3542936;8739080;26215262;713310;0.40541292676116936;0.027209722336553416
3164101;7701622;24222225;640831;0.4108356655260411;0.026456322654091438
3385382;8497656;25947136;697243;0.39839009722210456;0.026871674777516872
3266536;7441236;24227953;636582;0.4389776107087586;0.026274691881728512
3604037;9214232;42488740;869566;0.391138078572365;0.020465798703374116
3495502;8339049;26137284;688355;0.41917273780259595;0.026336133471251258
5528076;16280933;70897942;1819038;0.3395429487978361;0.025657134025131506
4030324;13206994;82733432;1232500;0.3051658840762705;0.014897242507720457
