start time;end time;cache misses;cache references;branch instructions;branch misses;cache miss rate;branch miss rate
1687081875006;1687081875106;568429;9349143;24796395;273523;0.06080011825682846;0.011030756688623487
1687081875334;1687081875434;1037528;7403377;23002306;314764;0.14014253225251125;0.013684019332670385
1687081875663;1687081875763;665699;3634611;37188068;839857;0.18315550137277414;0.02258404496840223
1687081876040;1687081876140;1695783;3384512;22206952;256267;0.5010421000132368;0.011539944788460838
1687081876364;1687081876464;1654378;6739141;12972627;434029;0.2454879635253217;0.033457294347551965
1687081876664;1687081876764;1596409;5770256;14151220;448010;0.2766617286997319;0.03165875451021184
1687081876989;1687081877089;1805046;2947204;7605477;639234;0.6124604879743648;0.0840491661469754
1687081877278;1687081877378;1586603;7500754;18783708;653936;0.2115258012727787;0.034813999451013614
1687081877562;1687081877662;776358;4620358;11711742;217482;0.16802983664902157;0.01856956889931489
1687081877868;1687081877968;396947;5524895;16880479;170196;0.07184697627737721;0.01008241531534739
1687081878167;1687081878267;1343092;6527596;13824316;384452;0.2057559934775375;0.027809838837596017
1687081878429;1687081878529;978670;7322121;18323913;531290;0.13365935908461496;0.028994352898313803
1687081878769;1687081878869;990998;4292314;26235764;439760;0.23087733096879678;0.016761852256332234
1687081879043;1687081879143;1063089;4312157;10795026;986541;0.2465329996101719;0.0913884783603115
1687081879425;1687081879525;808830;3346923;19130498;466266;0.2416637610127272;0.024372914913140264
1687081879736;1687081879836;1367620;3087159;7885796;399988;0.4430027737476431;0.05072259033837548
1687081880024;1687081880124;572282;10393083;10645761;1100522;0.05506373806501882;0.10337654583829188
1687081880323;1687081880423;1544622;7739385;7780369;248605;0.19957942394647638;0.031952854678229274
1687081880632;1687081880732;736301;7273390;22762502;234844;0.10123216271917222;0.010317143519635934
1687081880965;1687081881065;646160;3374375;7573029;233008;0.19149027597703278;0.03076813782173553
1687081881285;1687081881385;1588864;4752223;16642067;446219;0.33434121252306553;0.02681271503113165
1687081881537;1687081881637;1534795;5497966;16007196;310469;0.27915687365109204;0.01939558933369717
1687081881837;1687081881937;5795124;19578792;88199158;2702630;0.29598986495183155;0.03064235601886358
1687081882110;1687081882210;544892;4025457;11009236;239446;0.13536152541189733;0.021749556463318616
1687081882413;1687081882513;1783234;4485949;23473447;276544;0.397515442106007;0.011781141474449832
1687081882704;1687081882804;1739939;4345695;13347059;302600;0.40038221734383106;0.022671661225143306
1687081883007;1687081883107;1462685;6021130;13759306;404217;0.24292533129163463;0.029377717161025416
1687081883261;1687081883361;2015113;7912670;11929248;544571;0.25466915718714417;0.045650069476298925
1687081883529;1687081883629;3028989;14902613;32269946;984802;0.20325220818657774;0.03051762156651889
1687081883809;1687081883909;917971;3887492;22228238;583110;0.2361345052285638;0.026232848505581056
1687081884112;1687081884212;1316876;5843253;13255683;349495;0.2253669317416172;0.026365672745795144
1687081884346;1687081884446;1705916;7836957;14230873;472121;0.2176758147326826;0.033175828355716475
1687081884602;1687081884702;1774230;7243508;7766913;244532;0.24494071104774096;0.03148380830324738
1687081884912;1687081885012;1805741;5056386;10819739;360089;0.3571208764520747;0.03328074734519936
1687081885212;1687081885312;712783;6820698;22955842;263654;0.10450294090135644;0.011485268107351497
1687081885520;1687081885620;989186;5831691;7004380;429368;0.16962249886010763;0.06129992947270137
1687081885820;1687081885920;1563496;3994241;25856326;269054;0.3914375722446392;0.010405732044065348
1687081886104;1687081886204;1326380;5836576;12615854;456715;0.2272531018186005;0.036201671325619335
1687081886413;1687081886513;1964023;7898349;18595108;657052;0.24866247363847813;0.0353346697421709
1687081886659;1687081886759;1380278;5045417;13281357;308763;0.27357064837257256;0.023247850351436228
1687081886990;1687081887090;1898306;6798495;14258793;468358;0.27922444599871;0.03284695976721171
1687081887241;1687081887341;1793339;7296331;12963894;482272;0.24578640963519885;0.03720116810581759
1687081887491;1687081887591;1154238;6242762;14638753;425821;0.18489219995892844;0.029088611577775786
1687081887807;1687081887907;732870;3692119;21764132;561396;0.1984957689608596;0.025794550409821076
1687081888129;1687081888229;1531967;6189726;12360175;387508;0.2475015856921615;0.031351336044999366
1687081888478;1687081888578;1355281;3379974;12172028;348636;0.4009737944729752;0.028642392212702764
1687081888801;1687081888901;1318562;2805333;17062367;196767;0.47001978018295865;0.011532221760322
1687081889113;1687081889213;641852;5188403;7393656;417505;0.12370897172019983;0.05646800446220381
1687081889424;1687081889524;903293;5629956;13611096;222875;0.16044406030881947;0.016374507974963957
1687081889762;1687081889862;1399529;5533987;13576294;372937;0.2528970523421902;0.02746972038171831
1687081890025;1687081890125;1533084;6124833;8579553;410434;0.2503062532480477;0.04783862282801913
1687081890333;1687081890433;1478515;6312751;14068407;404123;0.23421088523846417;0.028725569284425736
1687081890627;1687081890727;4201852;19976859;36023054;1569417;0.21033596923320128;0.043567016833164676
1687081890930;1687081891030;6266891;20000996;117284730;2394902;0.31332894621847834;0.020419555043525273
1687081891191;1687081891291;973885;3849503;7665177;219966;0.25298980154061446;0.02869679330301179
1687081891518;1687081891618;736241;7305500;19264520;262377;0.10077900212168914;0.013619700880167271
1687081891824;1687081891924;1935816;9488674;12310898;501776;0.20401333210520248;0.040758683891296964
1687081892118;1687081892218;2110099;9684384;10573700;722346;0.21788675459378729;0.06831534845891221
1687081892392;1687081892492;2028134;8322876;27503380;698787;0.2436818715069166;0.025407313573822563
1687081892705;1687081892805;2184300;10276915;16589918;641420;0.21254432872121642;0.038663241132355204
